ubigeo,departamento,provincia,distrito,c1_rows,atenciones_missing_share,atendidos_missing_share,total_emergency_attentions,total_emergency_attended,total_populated_centers,matched_centers,coverage_share,mean_distance_km,median_distance_km,share_over_20km,share_over_30km,q1_territorial_availability_score,q2_settlement_access_score,q2_observed_settlement_access_score,q3_baseline_combined_score,q4_alternative_combined_score,baseline_rank_best_to_worst,alternative_rank_best_to_worst,rank_shift_alt_minus_base,abs_rank_shift,q1_missing_dominant,q1_reported_zero_activity,q2_no_matched_centers,q2_observed_low_access,q4_observed_no_matched_centers,q3_low_score_cause,q3_baseline_level,q4_alternative_level,facility_component,activity_component,distance_component,remote_tail_component,coverage_component,matched_centers_observed,coverage_share_observed,mean_distance_km_observed,median_distance_km_observed,share_over_20km_observed,share_over_30km_observed,distance_component_observed,remote_tail_component_observed
160502,LORETO,REQUENA,ALTO TAPICHE,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1.0,109.77168601513806,109.39219777910849,1.0,1.0,0.0639112585504727,0.1077429211938763,0.17156832909808972,0.0858270898721745,0.11773979382428121,1864,1843,21,21,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1278225171009454,0.0,0.1539184588483948,0.0,1.0,30.0,1.0,84.62597131496531,86.54097340779381,1.0,1.0,0.24509761299727106,0.0
160402,LORETO,MARISCAL RAMON CASTILLA,PEBAS,0.0,0.0,0.0,0.0,0.0,91.0,91.0,1.0,140.21293746221593,142.09570553005776,1.0,1.0,0.1012969481763936,0.0740625207971359,0.10094258704543735,0.08767973448676475,0.10111976761091548,1863,1859,4,4,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.2025938963527872,0.0,0.1058036011387656,0.0,1.0,91.0,1.0,154.5372032374067,155.16738955107854,1.0,1.0,0.14420369577919623,0.0
160504,LORETO,REQUENA,EMILIO SAN MARTIN,0.0,0.0,0.0,0.0,0.0,53.0,53.0,1.0,93.42580786534216,95.62768129061094,1.0,1.0,0.0506484740881968,0.1250292648541553,0.20716834139618906,0.08783886947117606,0.12890840774219292,1862,1807,55,55,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.1786132355059362,0.0,1.0,53.0,1.0,66.24113460589054,64.38827141598999,1.0,1.0,0.29595477342312726,0.0
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,4.0,1.0,1.0,0.0,0.0,23.0,23.0,1.0,85.5022402691958,85.79148793204405,1.0,1.0,0.0506484740881968,0.1389644328054887,0.17324776918516102,0.09480645344684276,0.11194812163667892,1861,1851,10,10,True,False,False,True,False,Missing-dominant activity,Very low availability,Very low availability,0.1012969481763936,0.0,0.1985206182935553,0.0,1.0,23.0,1.0,85.05789641542118,85.34430971779524,1.0,1.0,0.2474968131216586,0.0
151007,LIMA,YAUYOS,CARANIA,0.0,0.0,0.0,0.0,0.0,28.0,28.0,1.0,71.99441755555894,72.0988500889383,1.0,1.0,0.0319556292752363,0.1612509908111563,0.2178164911235585,0.09660331004319629,0.1248860601993974,1860,1826,34,34,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2303585583016519,0.0,1.0,28.0,1.0,57.788617959973294,58.923859952938244,1.0,1.0,0.31116641589079785,0.0
151011,LIMA,YAUYOS,COLONIA,0.0,0.0,0.0,0.0,0.0,91.0,91.0,1.0,72.17580899960886,71.6623985708471,1.0,1.0,0.0319556292752363,0.1620283258747959,0.298629426738891,0.0969919775750161,0.16529252800706365,1859,1656,203,203,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2314690369639942,0.0,1.0,91.0,1.0,35.80149143423796,35.33836346718999,1.0,0.9340659340659341,0.3983560099409589,0.06593406593406592
160509,LORETO,REQUENA,TAPICHE,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,83.2166326992311,80.05669067380579,1.0,1.0,0.0506484740881968,0.1478376997125783,0.16651559213738057,0.09924308690038755,0.10858203311278869,1858,1853,5,5,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.2111967138751119,0.0,1.0,16.0,1.0,92.58066533796932,90.24217590112015,1.0,1.0,0.2378794173391151,0.0
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,0.0,0.0,0.0,0.0,0.0,45.0,45.0,1.0,69.25465242112678,69.16419018611879,1.0,1.0,0.0319556292752363,0.1665695917096309,0.1780965027527681,0.0992626104924336,0.10502606601400219,1857,1856,1,1,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.237956559585187,0.0,1.0,45.0,1.0,81.13488009247733,81.9804090286131,1.0,1.0,0.2544235753610973,0.0
151016,LIMA,YAUYOS,HUANTAN,0.0,0.0,0.0,0.0,0.0,88.0,88.0,1.0,67.95250677348415,69.15400627661839,1.0,1.0,0.0319556292752363,0.1665884331269908,0.2324652988511783,0.09927203120111354,0.1322104640632073,1856,1797,59,59,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2379834758957012,0.0,1.0,88.0,1.0,50.799821305754655,52.14471937205106,1.0,1.0,0.3320932840731119,0.0
151026,LIMA,YAUYOS,SAN JOAQUIN,0.0,0.0,0.0,0.0,0.0,27.0,27.0,1.0,53.90961963789608,53.67859860533732,1.0,1.0,0.0,0.1989378797403731,0.2289934872716835,0.09946893987018655,0.11449674363584175,1855,1849,6,6,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0,0.0,0.2841969710576759,0.0,1.0,27.0,1.0,53.90961963789608,53.67859860533732,1.0,1.0,0.32713355324526217,0.0
