ubigeo,departamento,provincia,distrito,total_facilities,emergency_proxy_facilities,facilities_missing_coords,c1_rows,reporting_ipress_count,total_emergency_attentions,total_emergency_attended,atenciones_missing_rows,atendidos_missing_rows,atenciones_zero_rows,atendidos_zero_rows,atenciones_missing_share,atendidos_missing_share,atenciones_zero_share,atendidos_zero_share,activity_quality_tag,facility_component,activity_component,q1_territorial_availability_score,availability_level,rank_best_to_worst,rank_worst_to_best
131202,LA LIBERTAD,VIRU,CHAO,11.0,0.0,4.0,60.0,2.0,772.0,772.0,2.0,2.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,Missing activity values present,0.2291194652773391,0.5671251645490837,0.3981223149132114,Very high availability,249,295
131101,LA LIBERTAD,GRAN CHIMU,CASCAS,5.0,1.0,0.0,59.0,2.0,750.0,422.0,2.0,2.0,0.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,Missing activity values present,0.25363409850986784,0.5393828295549119,0.3965084640323899,Very high availability,250,294
190306,PASCO,OXAPAMPA,PUERTO BERMUDEZ,23.0,1.0,1.0,87.0,21.0,122.0,118.0,60.0,60.0,0.0,0.0,0.6896551724137931,0.6896551724137931,0.0,0.0,Missing activity values present,0.38145661561081334,0.4089194092225585,0.3951880124166859,Very high availability,251,293
030416,APURIMAC,AYMARAES,TORAYA,4.0,0.0,0.0,79.0,4.0,3137.0,1100.0,1.0,1.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,Missing activity values present,0.14839734680795277,0.6404801348029625,0.39443874080545765,Very high availability,252,292
030601,APURIMAC,CHINCHEROS,CHINCHEROS,6.0,1.0,0.0,61.0,2.0,483.0,416.0,2.0,2.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.0,0.0,Missing activity values present,0.26784747804956727,0.5206365122769602,0.39424199516326375,Very high availability,253,291
050201,AYACUCHO,CANGALLO,CANGALLO,7.0,1.0,1.0,63.0,6.0,392.0,372.0,5.0,5.0,0.0,0.0,0.07936507936507936,0.07936507936507936,0.0,0.0,Missing activity values present,0.28015966743441967,0.5071367050807076,0.39364818625756365,Very high availability,254,290
240102,TUMBES,TUMBES,CORRALES,5.0,1.0,1.0,61.0,4.0,532.0,501.0,4.0,4.0,0.0,0.0,0.06557377049180328,0.06557377049180328,0.0,0.0,Missing activity values present,0.25363409850986784,0.5327833737459415,0.3932087361279047,Very high availability,255,289
170302,MADRE DE DIOS,TAHUAMANU,IBERIA,7.0,1.0,1.0,59.0,1.0,409.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.28015966743441967,0.5054465116777449,0.3928030895560823,Very high availability,256,288
050503,AYACUCHO,LA MAR,AYNA,6.0,1.0,3.0,76.0,3.0,432.0,431.0,2.0,2.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,Missing activity values present,0.26784747804956727,0.5176009822024815,0.3927242301260244,Very high availability,257,287
110305,ICA,NAZCA,VISTA ALEGRE,7.0,0.0,2.0,60.0,1.0,1011.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.19173377565141816,0.5900995752660803,0.3909166754587492,Very high availability,258,286
